TITLE = "Case 2: an solenoidal error in grad P"
VARIABLES="X" "Y" "DuDt" "DvDt" "PReal"
ZONE I=201, J=201
0.0 0.0 -0.0 -0.0 -0.5
0.0 0.005 -0.019726222814294477 -0.19726222814294475 -0.49950668212389254
0.0 0.01 -0.03937459524185 -0.3937459524184999 -0.49802867539578527
0.0 0.015 -0.058867574135827105 -0.5886757413582709 -0.49557181283279805
0.0 0.02 -0.07812822961664995 -0.7812822961664994 -0.49214579054870256
0.0 0.025 -0.09708054867908462 -0.9708054867908461 -0.4877641294877923
0.0 0.03 -0.11564973518083359 -1.1564973518083357 -0.4824441220638944
0.0 0.035 -0.13376250502872816 -1.3376250502872815 -0.47620676391511474
0.0 0.04 -0.15134737539755408 -1.5134737539755407 -0.4690766710436491
0.0 0.045 -0.1683349468400955 -1.683349468400955 -0.46108198266767186
0.0 0.05 -0.1846581771750384 -1.8465817717503836 -0.45225425016870135
0.0 0.055 -0.2002526460718224 -2.0025264607182236 -0.4426283125727154
0.0 0.06 -0.21505680928824594 -2.1505680928824593 -0.43224215905643715
0.0 0.065 -0.22901224155746536 -2.290122415574653 -0.4211367790214152
0.0 0.07 -0.24206386716582284 -2.420638671658228 -0.40935600032758757
0.0 0.075 -0.2541601773115196 -2.541601773115195 -0.3969463163247473
0.0 0.08 -0.26525343338631696 -2.6525343338631693 -0.3839567023645378
0.0 0.085 -0.27529985537800755 -2.7529985537800754 -0.3704384225171218
0.0 0.09 -0.284259794650116 -2.8425979465011597 -0.35644482725532267
0.0 0.095 -0.2920978904169482 -2.920978904169482 -0.3420311429046898
0.0 0.1 -0.29878320929645275 -2.987832092964527 -0.327254253690429
0.0 0.105 -0.3042893673901437 -3.0428936739014363 -0.31217247724136166
0.0 0.11 -0.30859463440829077 -3.085946344082907 -0.29684533443689387
0.0 0.115 -0.3116820194294422 -3.116820194294421 -0.2813333145053065
0.0 0.12 -0.31353933795582706 -3.1353933795582702 -0.2656976363004138
0.0 0.125 -0.31415925999999994 -3.141592599999999 -0.25000000669872413
0.0 0.13 -0.3135393390129513 -3.1353933901295123 -0.23430237707059764
0.0 0.135 -0.3116820215395186 -3.1168202153951854 -0.21866669878649883
0.0 0.14 -0.3085946375629919 -3.085946375629918 -0.20315467872324872
0.0 0.145 -0.30428937157701935 -3.042893715770193 -0.1878275357351812
0.0 0.15 -0.29878321449897927 -2.987832144989792 -0.17274575905130152
0.0 0.155 -0.29209789661459357 -2.9209789661459356 -0.15796886955194264
0.0 0.16 -0.284259801818421 -2.8425980181842094 -0.143555184867051
0.0 0.165 -0.2752998634886821 -2.7529986348868203 -0.1295615892231517
0.0 0.17 -0.26525344240735194 -2.6525344240735187 -0.11604330894730192
0.0 0.17500000000000002 -0.2541601872073131 -2.54160187207313 -0.10305369451401614
0.0 0.18 -0.24206387789732073 -2.420638778973207 -0.09064400999532382
0.0 0.185 -0.22901225308231526 -2.2901225308231523 -0.0788632307449044
0.0 0.19 -0.21505682156096462 -2.150568215609646 -0.06775785011474747
0.0 0.195 -0.20025265904397496 -2.002526590439749 -0.05737169596713973
0.0 0.2 -0.1846581907954296 -1.846581907954296 -0.0477457577061213
0.0 0.20500000000000002 -0.16833496105497203 -1.68334961054972 -0.03891802451104004
0.0 0.21 -0.1513473901508164 -1.513473901508164 -0.03092333541062109
0.0 0.215 -0.13376252026215182 -1.337625202621518 -0.02379324178924158
0.0 0.22 -0.11564975083429906 -1.1564975083429905 -0.0175558828680355
0.0 0.225 -0.09708056469081494 -0.9708056469081493 -0.012235874652247153
0.0 0.23 -0.07812824592345416 -0.7812824592345415 -0.007854212783107606
0.0 0.23500000000000001 -0.0588675906733497 -0.5886759067334969 -0.004428189677633726
0.0 0.24 -0.039374611944824923 -0.39374611944824917 -0.0019713262833605527
0.0 0.245 -0.019726239616802737 -0.19726239616802735 -0.0004933187173405407
0.0 0.25 -1.6835729765858242e-08 -1.6835729765858238e-07 -3.608224830031759e-16
0.0 0.255 0.019726206011786138 0.19726206011786135 -0.0004933170348750959
0.0 0.26 0.0393745785388749 0.39374578538874894 -0.001971322925069602
0.0 0.265 0.05886755759830441 0.588675575983044 -0.004428184656770889
0.0 0.27 0.07812821330984555 0.7812821330984554 -0.00785420611948795
0.0 0.275 0.09708053266735402 0.97080532667354 -0.012235866372168919
0.0 0.28 0.11564971952736777 1.1564971952736776 -0.01755587300417638
0.0 0.28500000000000003 0.13376248979530422 1.337624897953042 -0.023793230380529662
0.0 0.29 0.15134736064429125 1.5134736064429122 -0.030923322502081352
0.0 0.295 0.1683349326252183 1.6833493262521826 -0.038918010153616706
0.0 0.3 0.18465816355464643 1.8465816355464642 -0.04774574195647649
0.0 0.305 0.20025263309966923 2.002526330996692 -0.05737167888743008
0.0 0.31 0.21505679701552666 2.1505679701552665 -0.06775783177237879
0.0 0.315 0.22901223003261476 2.2901223003261473 -0.07886321121226567
0.0 0.32 0.24206385643432435 2.420638564343243 -0.09064398934950152
0.0 0.325 0.2541601674157253 2.5416016741572527 -0.1030536728364897
0.0 0.33 0.26525342436528127 2.6525342436528123 -0.11604328632362282
0.0 0.335 0.2752998472673322 2.7529984726733217 -0.12956156574260505
